AUTHOR	TITLE	YEAR	COUNTRY	GENRE	REGION	CITATION	QWORD
Іван Карпенко-Карий	З Івана-пан; а з пана-Іван	1884	UA	DRA	UA-KRV;	А що ж зо мною буде ?	QWORD
Іван Карпенко-Карий	З Івана-пан; а з пана-Іван	1884	UA	DRA	UA-KRV;	Вже ж як ви знову пан , то я Іван і Оксанка вам не нужна ?	QWORD
Іван Карпенко-Карий	З Івана-пан; а з пана-Іван	1884	UA	DRA	UA-KRV;	Где же Иван ?	NOQWORD
Іван Карпенко-Карий	Чортова скала	1884	UA	DRA	UA-KRV;	А ти чого лежиш ?	QWORD
Марко Вовчок	Горпина	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	Чи ви ж доглядали її , батеньку ?	CZY
Марко Вовчок	Горпина	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	Скажіть же бо , що й як ?	QWORD
Марко Вовчок	Горпина	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	— А чого , дочко , мене лякаєш ?	QWORD
Марко Вовчок	Горпина	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	« Що се з нею подіялося ?	QWORD
Марко Вовчок	Горпина	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	Цілісінький день ходить мовчки та городній мак ізбирає ; а спитати , нащо ?	QWORD
Марко Вовчок	Данило Гурч	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	– А що таке ?	QWORD
Марко Вовчок	Інститутка	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	А ти , Прокопе , чому не йдеш ?	QWORD
Марко Вовчок	Інститутка	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	Чи , може , ця краля ?	CZY
Марко Вовчок	Інститутка	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	Лиха наша пані молода ?	NOQWORD
Марко Вовчок	Інститутка	1861	UA	FIC	RU;UA-HRK;UA-CRG;UA-KYV;UA-VNC;	— Яковось-то жилося тобі , серденько , самій ?	NOQWORD